address,count,first,last,perc,cumulative,cumulative_perc,label
0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13,23104,1128,428304,0.16,13363524,91.72,
0x652d38d814bcdf3e0f750a0faf272ee96c1f67ed,19779,9184170,10514112,0.14,13383303,91.86,
0xa7b0536fb02c593b0dfd82bd65aacbdd19ae4777,19718,9175857,11125480,0.14,13403021,91.99,poolin
0xcd458d7f11023556cc9058f729831a038cb8df9c,19249,13408393,14569898,0.13,13422270,92.12,poolin
0xab3b229eb4bcff881275e7ea2f0fd24eeac8c83a,18884,13407633,14569984,0.13,13441154,92.25,
0x73b8865eda227d6fffabc83c78124dea8c347fea,18393,3114423,4455124,0.13,13459547,92.38,poolgpu
0x70aec4b9cffa7b55c0711b82dd719049d615e21d,18340,4558883,7727857,0.13,13477887,92.5,
0xbb7b8287f3f0a933474a79eae42cbca977791171,17759,25,2547295,0.12,13495646,92.63,
0x0708f87a089a91c65d48721aa941084648562287,17664,12985813,13957566,0.12,13513310,92.75,
0xf541c3cd1d2df407fb9bb52b3489fc2aaeedd97e,17533,9306325,12821206,0.12,13530843,92.87,
0x8f03f1a3f10c05e7cccf75c1fd10168e06659be7,17340,13407657,14569955,0.12,13548183,92.99,
0x84990f5d2e09f56cabdabf6409ad31bdd8363b50,16946,4754068,5342192,0.12,13565129,93.1,
0xcc16e3c00dbbe76603fa833ec20a48f786dfe610,16048,5058966,7278103,0.11,13581177,93.21,
0x2daa35962a6d43eb54c48367b33d0b379c930e5e,15785,13407845,14569998,0.11,13596962,93.32,poolin
0xd4383232c8d1dbe0e03bdfab849871fa17e61807,15763,5901886,6995801,0.11,13612725,93.43,
0xda466bf1ce3c69dbef918817305cf989a6353423,15573,9617223,10247797,0.11,13628298,93.54,miningpoolhub
0xb75d1e62b10e4ba91315c4aa3facc536f8a922f5,15355,4455266,7031194,0.11,13643653,93.64,
0x6c7f03ddfdd8a37ca267c88630a4fee958591de0,14879,1396143,4514279,0.1,13658532,93.74,alpereum
0xd34da389374caad1a048fbdc4569aae33fd5a375,14592,948109,3261792,0.1,13673124,93.84,genesismining
0x03e75d7dd38cce2e20ffee35ec914c57780a8e29,14000,13313132,14569958,0.1,13687124,93.94,gpuminepool
0xe206e3dca498258f1b7eec1c640b5aee7bb88fd0,13986,12899555,13326950,0.1,13701110,94.04,
0xf20b338752976878754518183873602902360704,13845,12372500,12508716,0.1,13714955,94.13,f2pool
0x464b0b37db1ee1b5fbe27300acfbf172fd5e4f53,13505,3785029,10755772,0.09,13728460,94.22,fkpool
0x4a071eee72bc8664c81b62836932ed0d246da82b,12068,5095092,6779826,0.08,13740528,94.31,
0x96338149e9f6c262d4cb7aeec1cf4c652079a11c,11771,2124713,11699067,0.08,13752299,94.39,
0x01ca8a0ba4a80d12a8fb6e3655688f57b16608cf,11362,12326532,13327679,0.08,13763661,94.47,
0xc3348b43d3881151224b490e4aa39e03d2b1cdea,11100,13500093,14352445,0.08,13774761,94.54,ezilpool
0xc4aeb20798368c48b27280847e187bb332b9bc77,11023,9554086,12785105,0.08,13785784,94.62,easy2mine
0x44fd3ab8381cc3d14afa7c4af7fd13cdc65026e1,10907,7179601,12626224,0.07,13796691,94.69,wpool
